어장명,정점,위도,경도,어장종류,년도,월,일,기상,수심(m),수온(표),수온(저),수온(차이),염분(저),Ph(저),DO(저),COD(저),NH4-N(저),NO3-N(저),NO2-N(저),DIN(저),TN(저),DIP(저),TP(저),SIO2-SI(저),CHL-A(저),SS(저),투명도,,
군산,6,35.92,126.457222222222,연안,2022,12,9,맑음,13,9.41,9.71,0.300000000000001,31.51,8.14,11.64,1.13,0.025,0.073,0.005,0.103,0.145,0.015,0.08,0.196,2.67,10,1.8,,
금강하구,1,36.1,126.521666666667,김,2022,12,9,맑음,11,9.95,9.85,0.0999999999999996,31.96,8.13,9.52,0.45,0.014,0.069,0.007,0.09,0.121,0.016,0.083,0.244,2.52,10.2,2.5,,
금강하구,2,36,126.646388888889,하구,2022,12,9,맑음,11,8.67,8.59,0.0800000000000001,30.29,8.13,10.27,1.88,0.064,0.199,0.006,0.268,0.298,0.018,0.109,0.237,4.23,25.2,1.1,,
금강하구,3,35.9913888888889,126.61,하구,2022,12,9,맑음,12,8.73,8.63,0.0999999999999996,30.74,8.14,10.06,2.48,0.026,0.067,0.003,0.096,0.203,0.012,0.145,0.134,4,61.2,1,,
금강하구,4,35.9897222222222,126.561111111111,하구,2022,12,9,맑음,11,8.77,8.76,0.0099999999999997,30.98,8.12,10.58,1.96,0.031,0.1,0.005,0.136,0.18,0.015,0.119,0.217,4.4,36.4,1.2,,
보령,1,36.31,126.4825,연안,2022,12,9,맑음,24,10.05,10,0.0500000000000007,31.89,8.11,9.42,1.07,0.021,0.069,0.005,0.094,0.128,0.017,0.092,0.232,2.18,22.4,2.3,,
보령,2,36.2291666666667,126.51,새조개,2022,12,9,맑음,9,9.58,9.56,0.0199999999999996,31.92,8.13,9.91,1.13,0.015,0.062,0.005,0.082,0.119,0.016,0.087,0.236,2.24,13.4,1.8,,
태안,3,36.57,126.1,연안,2022,12,9,맑음,16,11.78,11.78,0,31.71,8.04,9.25,1.23,0.01,0.106,0.004,0.12,0.155,0.019,0.085,0.235,1.17,14,2,,
태안,4,36.63,126.23,김,2022,12,9,맑음,6,10.34,10.36,0.0199999999999996,31.83,8.1,9.41,1.19,0.009,0.061,0.003,0.073,0.144,0.013,0.085,0.161,1.83,6,1.9,,
태안,5,36.49,126.29,전복,2022,12,9,맑음,16,9.92,9.89,0.0299999999999994,31.87,8.11,9.69,1.19,0.007,0.083,0.005,0.096,0.131,0.017,0.084,0.242,2.47,9.4,1.7,,
양양,1,38.0111111111111,128.75,가리비,2022,12,8,맑음,30,15.14,14.4,0.74,34,8.14,7.43,0.85,0.024,0.092,0.006,0.122,0.19,0.013,0.019,0.268,1.25,7.4,11,,
양양,2,38.0111111111111,128.802777777778,가리비,2022,12,8,맑음,63,15.55,12.54,3.01,34.09,8,4.97,0.76,0.011,0.195,0.004,0.21,0.287,0.03,0.03,0.522,0.21,0,14,,
강릉,1,37.78,128.955555555556,가리비,2022,12,8,맑음,27,15.22,15.17,0.0500000000000007,33.99,8.13,5.9,0.34,0.013,0.096,0.007,0.116,0.198,0.014,0.019,0.29,0.74,1.2,13,,
강릉,2,37.78,129,가리비,2022,12,8,맑음,80,15.29,2.74,12.55,33.98,7.86,6.75,0.35,0.01,0.309,0.002,0.321,0.357,0.05,0.05,0.743,0.05,0.6,13,,
강릉,3,37.65,129.066666666667,마을,2022,12,8,맑음,26,15.12,15.05,0.0699999999999985,34,8.14,6.84,0.43,0.015,0.085,0.007,0.107,0.193,0.012,0.017,0.271,0.85,0.8,14,,
강릉,4,37.65,129.125,마을,2022,12,8,맑음,109,15.24,1.57,13.67,34.04,7.84,6.25,0.53,0.018,0.288,0.001,0.307,0.372,0.046,0.048,0.715,0.05,1.2,14,,
기장,2,35.2511111111111,129.263611111111,미역/다시마,2022,12,8,맑음,30,17.07,15.89,1.18,35.27,7.9,7.04,0.91,0.007,0.112,0.009,0.128,0.218,0.021,0.029,0.466,1.51,29.1,7.5,,
기장,3,35.205,129.242222222222,미역/다시마,2022,12,8,맑음,30,16.97,14.99,1.98,35.33,7.84,6.16,0.83,0.014,0.141,0.007,0.162,0.225,0.027,0.033,0.543,1.34,33.1,5.5,,
부산,1,35.1652777777778,129.227222222222,연안,2022,12,8,맑음,47,17.58,15.1,2.48,35.35,7.83,6.11,1.2,0.005,0.136,0.005,0.146,0.33,0.025,0.072,0.521,1.53,44.8,12,,
부산,2,35.1338888888889,129.173611111111,연안,2022,12,8,맑음,26,16.89,16.45,0.440000000000001,35.26,7.91,7.03,0.65,0.007,0.1,0.008,0.115,0.145,0.018,0.02,0.398,1.02,8.7,4.5,,
부산,3,35.0919444444444,129.120277777778,연안,2022,12,8,맑음,30,17.4,16.61,0.789999999999999,35.29,7.91,7.19,0.59,0.009,0.075,0.007,0.091,0.129,0.015,0.017,0.32,0.78,5.8,7,,
낙동강하구,1,35.0211111111111,128.964722222222,하구,2022,12,8,맑음,26,16.73,15.14,1.59,34.89,7.87,7.36,0.78,0.009,0.117,0.01,0.136,0.178,0.021,0.021,0.463,1.28,4.6,9,,
낙동강하구,5,34.9972222222222,128.914166666667,하구,2022,12,8,맑음,27,14.79,15.08,0.290000000000001,35.01,7.88,7.31,0.62,0.006,0.117,0.011,0.133,0.254,0.022,0.026,0.488,1.65,3.4,5,,
낙동강하구,6,34.9975,128.858055555556,하구,2022,12,8,맑음,22,14.66,15.02,0.359999999999999,35.07,7.89,7.35,0.6,0.005,0.12,0.011,0.136,0.221,0.023,0.025,0.528,1.95,6.2,4.5,,
거제도남안,4,34.7291666666667,128.589722222222,굴,2022,12,8,맑음,14,16.01,16.01,0,33.9,8.14,6.81,1.19,0.005,0.075,0.008,0.089,0.233,0.014,0.025,0.315,1.06,10.4,2.5,,
거제도남안,5,34.7275,128.552777777778,연안,2022,12,8,맑음,20,16.27,16.01,0.259999999999998,33.91,8.13,6.72,1.15,0.005,0.068,0.008,0.08,0.235,0.013,0.023,0.284,0.8,3.6,3,,
통영외안,9,34.6347222222222,128.28,굴,2022,12,8,맑음,26,15.41,15.4,0.0099999999999997,33.78,8.16,7.1,1.27,0.016,0.057,0.01,0.084,0.227,0.015,0.016,0.259,1.18,3.2,3.5,,
통영외안,10,34.6436111111111,128.373055555556,어류,2022,12,8,맑음,20,15.41,15.36,0.0500000000000007,33.77,8.16,7.25,1.31,0.015,0.049,0.012,0.076,0.223,0.017,0.018,0.304,1.28,2,4.5,,
통영외안,13,34.7266666666667,128.0475,어류,2022,12,8,맑음,17,14.69,13.95,0.74,33.66,8.2,7.48,1.19,0.023,0.03,0.004,0.058,0.213,0.013,0.013,0.167,2.38,2.6,3,,
태안,1,36.94,126.2,전복,2022,12,8,맑음,33,12.13,12.12,0.0100000000000016,31.38,7.87,9.66,1.11,0.012,0.09,0.001,0.103,0.181,0.017,0.098,0.183,1.22,16.2,1,,
태안,2,36.88,126.09,연안,2022,12,8,맑음,34,11.84,11.82,0.0199999999999996,31.59,7.88,11.03,1.19,0.012,0.113,0.003,0.127,0.165,0.02,0.09,0.247,1.21,12.2,1.5,,
태안,6,36.6983333333333,126.113888888889,전복,2022,12,8,맑음,15,11.86,11.86,0,31.73,7.88,9.52,1.03,0.011,0.104,0.004,0.118,0.153,0.019,0.087,0.235,1.23,12,2,,
태안,7,36.6880555555556,126.1225,전복,2022,12,8,맑음,21,11.89,11.89,0,31.74,7.87,9.59,1.51,0.01,0.079,0.003,0.093,0.153,0.015,0.085,0.188,1.19,11.4,2,,
아산,3,37.09,126.52,마을,2022,12,8,맑음,22,10.36,10.35,0.0099999999999997,30.47,7.89,9.62,1.27,0.01,0.132,0.009,0.151,0.27,0.023,0.117,0.271,1.48,13.2,1.7,,
아산,4,37.03,126.426666666667,바지락,2022,12,8,맑음,12,10.73,10.73,0,30.66,7.88,9.37,1.39,0.007,0.197,0.012,0.216,0.251,0.03,0.109,0.381,1.33,11.6,1.9,,
아산,5,37.2033333333333,126.486666666667,김,2022,12,8,맑음,8,10.04,10.04,0,30.57,7.82,9.19,1.51,0.009,0.216,0.011,0.236,0.277,0.032,0.124,0.398,1.56,23.4,1.3,,
진해만,2,35.0597222222222,128.724166666667,진주담치,2022,12,7,맑음,21,13.94,13.71,0.229999999999999,34.65,7.93,8.19,0.94,0.011,0.043,0.005,0.059,0.178,0.014,0.024,0.42,6.53,11,3.5,,
거제도동안,1,34.9811111111111,128.7875,진주담치,2022,12,7,맑음,23,14.56,14.54,0.0200000000000014,35.05,7.88,7.82,0.68,0.006,0.088,0.009,0.102,0.251,0.02,0.026,0.476,3.46,6.3,4.5,,
거제도동안,2,34.9936111111111,128.721666666667,진주담치,2022,12,7,맑음,12,13.82,13.65,0.17,34.98,7.91,8.46,1.01,0.005,0.053,0.006,0.064,0.188,0.015,0.028,0.441,5.64,5,4,,
거제도동안,3,34.9227777777778,128.733888888889,연안,2022,12,7,맑음,20,15.42,14.96,0.459999999999999,35.21,7.85,7.18,0.57,0.005,0.08,0.006,0.092,0.25,0.02,0.028,0.385,1.47,3.8,4.5,,
거제도동안,4,34.9016666666667,128.751666666667,연안,2022,12,7,맑음,27,17.07,15.94,1.13,35.16,7.88,6.88,0.44,0.006,0.106,0.008,0.12,0.264,0.022,0.03,0.45,1.01,9.3,11,,
거제도동안,5,34.7975,128.683888888889,연안,2022,12,7,맑음,20,16.47,16.32,0.149999999999999,35.18,7.89,7.14,0.4,0.005,0.085,0.008,0.099,0.233,0.017,0.022,0.369,0.8,5.4,5.5,,
거제도동안,6,34.765,128.664166666667,연안,2022,12,7,맑음,21,16.86,16.21,0.649999999999999,35.11,7.9,7.21,0.49,0.006,0.084,0.009,0.099,0.236,0.018,0.023,0.379,0.75,11.6,8,,
고성자란만,1,34.8891666666667,128.225,굴,2022,12,7,맑음,9,13.88,13.86,0.0200000000000014,33.57,8.18,7.65,1.63,0.023,0.043,0.003,0.068,0.196,0.012,0.012,0.27,1.73,4.6,3.5,,
고성자란만,2,34.8547222222222,128.229444444444,굴,2022,12,7,맑음,15,13.63,13.6,0.0300000000000011,33.52,8.14,7.59,1.35,0.029,0.032,0.003,0.064,0.219,0.013,0.016,0.287,1.22,8.6,4,,
고성자란만,3,34.8958333333333,128.2875,굴,2022,12,7,맑음,10,12.19,11.97,0.219999999999999,33.35,8.07,7.96,1.43,0.029,0.048,0.004,0.081,0.238,0.021,0.022,0.545,1.1,3.8,3.5,,
고성자란만,4,34.9319444444444,128.319722222222,굴,2022,12,7,맑음,4,9.73,9.72,0.0099999999999997,33.13,8.04,8.32,1.75,0.031,0.048,0.003,0.082,0.254,0.027,0.03,0.695,1.9,3.8,2,,
고성자란만,5,34.9144444444444,128.230277777778,굴,2022,12,7,맑음,8,11.42,11.09,0.33,33.27,8.09,8.27,1.99,0.019,0.025,0.002,0.046,0.194,0.014,0.015,0.529,2.13,4.8,3.5,,
고성자란만,6,34.9219444444444,128.253055555556,굴,2022,12,7,맑음,6,11.73,11.28,0.450000000000001,33.41,8.13,8.16,1.87,0.011,0.02,0.001,0.032,0.194,0.009,0.012,0.361,2.94,3.8,4,,
고성자란만,7,34.9219444444444,128.255833333333,굴,2022,12,7,맑음,8,11.85,11.4,0.449999999999999,33.24,8.08,7.9,1.59,0.018,0.03,0.002,0.051,0.211,0.015,0.018,0.536,1.99,3.4,3,,
고성자란만,8,34.9258333333333,128.303888888889,굴,2022,12,7,맑음,4,10.98,10.56,0.42,33.2,8.03,8.09,1.55,0.028,0.041,0.003,0.072,0.243,0.02,0.029,0.534,1.38,5,2.5,,
고성자란만,9,34.9136111111111,128.332222222222,굴,2022,12,7,맑음,6,11.09,10.95,0.140000000000001,33.2,8.03,8.08,1.67,0.032,0.048,0.003,0.083,0.246,0.024,0.026,0.629,1.4,4,4,,
통영외안,6,34.8519444444445,128.291111111111,굴,2022,12,7,맑음,12,12.78,12.78,0,33.44,8.13,7.83,1.23,0.026,0.029,0.003,0.058,0.214,0.015,0.015,0.319,1.4,6.4,3,,
인천,3,37.42,126.57,연안,2022,12,7,맑음,11,8.98,8.96,0.0199999999999996,29.15,8.01,9.61,1.91,0.069,0.424,0.021,0.514,0.516,0.065,0.19,0.78,1.69,53.8,0.9,,
인천,4,37.36,126.63,연안,2022,12,7,맑음,11,8.05,8.77,0.719999999999999,30.03,8,9.24,1.55,0.057,0.272,0.02,0.35,0.386,0.041,0.14,0.513,1.76,13,1.6,,
인천,5,37.37,126.53,연안,2022,12,7,맑음,12,8.82,8.79,0.0300000000000011,29.71,8.05,9.96,1.95,0.066,0.314,0.019,0.398,0.432,0.043,0.171,0.524,1.85,50,0.8,,
